Date,Marriages
2011-01-01,367
2011-02-01,383
2011-03-01,589
2011-04-01,660
2011-05-01,871
2011-06-01,870
2011-07-01,989
2011-08-01,965
2011-09-01,638
2011-10-01,468
2011-11-01,340
2011-12-01,356
2012-01-01,440
2012-02-01,390
2012-03-01,567
2012-04-01,561
2012-05-01,807
2012-06-01,888
2012-07-01,971
2012-08-01,980
2012-09-01,563
2012-10-01,486
2012-11-01,391
2012-12-01,365
2013-01-01,365
2013-02-01,346
2013-03-01,455
2013-04-01,666
2013-05-01,748
2013-06-01,778
2013-07-01,972
2013-08-01,931
2013-09-01,607
2013-10-01,448
2013-11-01,315
2013-12-01,314
2014-01-01,375
2014-02-01,364
2014-03-01,530
2014-04-01,674
2014-05-01,847
2014-06-01,942
2014-07-01,1024
2014-08-01,967
2014-09-01,658
2014-10-01,489
2014-11-01,347
2014-12-01,357
2015-01-01,327
2015-02-01,333
2015-03-01,559
2015-04-01,665
2015-05-01,805
2015-06-01,927
2015-07-01,1090
2015-08-01,930
2015-09-01,713
2015-10-01,478
2015-11-01,342
2015-12-01,335
2016-01-01,346
2016-02-01,364
2016-03-01,517
2016-04-01,695
2016-05-01,895
2016-06-01,1071
2016-07-01,1041
2016-08-01,1072
2016-09-01,656
2016-10-01,489
2016-11-01,388
2016-12-01,362
2017-01-01,347
2017-02-01,357
2017-03-01,608
2017-04-01,627
2017-05-01,894
2017-06-01,943
2017-07-01,971
2017-08-01,1066
2017-09-01,729
2017-10-01,552
2017-11-01,393
2017-12-01,385
2018-01-01,375
2018-02-01,344
2018-03-01,538
2018-04-01,657
2018-05-01,880
2018-06-01,964
2018-07-01,1090
2018-08-01,1117
2018-09-01,719
2018-10-01,582
2018-11-01,397
2018-12-01,329
2019-01-01,341
2019-02-01,382
2019-03-01,576
2019-04-01,724
2019-05-01,879
2019-06-01,901
2019-07-01,1079
2019-08-01,1011
2019-09-01,738
2019-10-01,576
2019-11-01,433
2019-12-01,393
2020-01-01,426
2020-02-01,434
2020-03-01,294
2020-04-01,47
2020-05-01,123
2020-06-01,248
2021-06-01,3
2021-08-01,922
2021-09-01,1773
2021-10-01,1413
2021-11-01,783
2021-12-01,689
2022-01-01,472
2022-02-01,536
2022-03-01,1220
2022-04-01,1265
2022-05-01,1269
2022-06-01,1658
2022-07-01,1507
2022-08-01,1656
2022-09-01,1108
2022-10-01,611
2022-11-01,476
2022-12-01,556
2023-01-01,563
2023-02-01,617
2023-03-01,929
2023-04-01,1086
2023-05-01,1507
2023-06-01,1507
2023-07-01,1628
2023-08-01,1649
2023-09-01,1156
2023-10-01,811
2023-11-01,606
2023-12-01,647
